0xb850fa8b0c4bf92b210c991c065cb2fd0309fff2,7.0
0x1c696feA62B08220436C98e5F0420eCA45a92265,7.0
0x1dd40ab953273fd215b40afd021c90d4a4a9c1b6,0.5
0x532a31baebc93d3ccc3c1484e4f0a37e05bb83c9,4.0
0x69a70a3a981f9a5adeadb2fb73b4edb5ae178ef2,0.5
0x807ce865227167fde7e0777d8498837b945390f5,0.5
0x080552771f26904689f235e7f4361ef0ae37c567,0.5
0x88c3cdf79f47ab7af8efcb081771487ff13bf029,0.5
0x655264617f4c4f7ab3a6829e6757c3c207760dd8,0.5
0xf6958a622ee89f77a9bfee71fc839d3aa32e1250,0.5
0x57f2e1bab84c4ffdf57bac45415604c0c80dc373,0.5
